question	option1	option2	answer	info	score
貓咪需要定期梳毛嗎?	需要吧~貓咪也愛漂亮	不需要，他討厭別人動他的髮型	1		-5
貓咪剛到新環境不適應會有什麼行為?	哈氣，就像使出尾獸玉	打嗝，咕嚕嚕	1		-10
貓咪便盆數量如何計算?	貓咪數+1	貓咪數*2 	1		-5
所有貓咪最愛吃的食物都是魚?	是啊，有的也愛吃老鼠	否，貓跟人一樣有的會海鮮過敏	2		-10
貓咪需要定期洗澡嗎?	需要，要不然會變成臭豆腐貓	不需要，貓咪自己會清潔自己，就像你不會幫別人洗澡	2		-10
貓咪比較怕冷還是怕熱?	怕冷，所以他不能孤單寂寞	怕熱，所以他需要孤單寂寞	1		-10
貓咪需要刷牙嗎？	需要，要不然會有口臭	不需要，他的扣腔中有自動清潔的共生細菌	1		-10
貓咪特別喜歡喝牛奶	是，而且他也會喜歡吃牛奶麵包	否，大部分貓有乳糖不耐症會拉肚子	2		-10
奶貓的奶粉和水比例?	一比二	一比三	1		-5
成貓需要多久打一次疫苗?	每年一次	半年一次	1		-10
貓咪多數有什麼症狀?	乳糖不耐症	社交恐懼症	1		-10
只要注意好寄生蟲或汙染狀況，生食對小貓是非常好的食物	是，他喜歡原汁原味	小貓見血即暈	1		-10
貓砂多久換一次較為適中?	1個月	2個月	1		-10
貓咪只要呼嚕嚕就代表很開心?	對，跟在日本吃拉麵一樣	不對，要聽一下他的聲調	2		-5
一歲的貓咪相當於人類幾歲?	7歲，小一!	15歲，國三!	2		-10
可以幫貓咪畫睫毛膏嗎?	不行!貓咪沒有睫毛啦~	不行!因為睫毛膏中化學物質會造成貓咪嗜睡~	1		-10
人類平視角度是180度，那貓的平視角度可達多少度呢?	280度 	340度	1		-5
貓咪鼻子濕濕還是乾乾正常?	乾乾，濕濕代表他偷喝飲料排不出塑化劑	濕濕，乾乾代表他生病了要注意	2		-10
貓咪扭打再一起只是在玩耍，看著牠們笑就好	沒有錯，超可愛的	錯了，真的會開扁	2		-10
貓有幾條鬍鬚?	12條	24條	2		-10
把貓咪領回家前應該？	什麼都不用準備，他自己就會跟你玩躲貓貓	先準備一個小空間，讓他可以窩起來	2		-10
貓貓不能吃什麼？	洋蔥	鮭魚	1	洋蔥會讓貓咪中毒，因為其中含有讓紅血球無法凝固的成分，吃太多會造成貓咪的貧血症，呼吸困難，流口水，甚至死亡。	-10
哪一個是貓咪可以吃的“人吃的食物”？	花椰菜	巧克力	1	花椰菜含有著豐富的 纖維素 與 維他命 C ，是貓咪較能接受的「菜味」。雖然貓咪是肉食性動物，但適量補充纖維，仍有助腸胃功能運作。	-10
公貓不做節育手術會有什麼問題？	什麼問題都不會有，頂多讓他去外面浪一下	會有到處灑尿建立地盤的情形	2		-5
母貓不做節育手術會有什麼問題？	發情厭食，甚至體態消瘦	個性變得內向害羞	1	沒懷孕的母貓會經常發情，對母貓來說是非常大的身理負擔。關在家中的母貓，雖可避免懷孕，但因經常發情，發情時厭食，導至消瘦，健康失調；且年老容易導致子宮蓄膿，影響貓咪健康。	-5
哪一種不是貓咪可以打的疫苗？	卡介苗	狂犬病疫苗	1		-5
小貓多大可以開始吃乾糧	一個月大	兩個月大	2		-10
下列哪一種水果貓咪不能吃？	西瓜	桃子	2	桃子的莖葉與果核帶有微量氧化物，貓咪若誤食會呼吸困難甚至陷入昏迷	-10
下列選項並非貓的觸鬚的功能？	保持平衡	表達情緒	1	貓的腮鬚可以	-5
